invoice_file,gold_label,predicted_delivery_file,predicted_label,similarity,correct_top1
1. 24701570.pdf,1,9A. 16139-178749-PC.pdf,9A,0.0358,no
10. 192696.pdf,10,9. 15617-178789-N.pdf,9,0.0911,no
2. ARD0393442NM.pdf,2,7. 16108-178668-MY.pdf,7,0.0788,no
3. 5323106.pdf,3,9. 15617-178789-N.pdf,9,0.1197,no
4. 085248.pdf,4,7. 16108-178668-MY.pdf,7,0.0868,no
5. 2442594.pdf,5,7. 16108-178668-MY.pdf,7,0.1121,no
6. 134310.pdf,6,9. 15617-178789-N.pdf,9,0.1009,no
6A. 148505.pdf,6A,9. 15617-178789-N.pdf,9,0.0461,no
7. 86438.pdf,7,9. 15617-178789-N.pdf,9,0.0540,no
8. 86411.pdf,8,9. 15617-178789-N.pdf,9,0.0315,no
9. 43082.pdf,9,7. 16108-178668-MY.pdf,7,0.0911,no
9A. 24701539.pdf,9A,9A. 16139-178749-PC.pdf,9A,0.0251,yes
