invoice_file,gold_label,predicted_delivery_file,predicted_label,similarity,correct_top1,invoice_chars,invoice_chunks,delivery_chars,delivery_chunks
1. 24701570.pdf,1,1. 16012-178800-SA.pdf,1,0.6169,yes,5265,6,686,1
10. 192696.pdf,10,6A. 15428-178700VP.pdf,6A,0.6756,no,1098,2,605,1
2. ARD0393442NM.pdf,2,6A. 15428-178700VP.pdf,6A,0.6422,no,1712,2,605,1
3. 5323106.pdf,3,9. 15617-178789-N.pdf,9,0.7084,no,1482,2,507,1
4. 085248.pdf,4,6A. 15428-178700VP.pdf,6A,0.8070,no,1113,1,605,1
5. 2442594.pdf,5,6A. 15428-178700VP.pdf,6A,0.6267,no,1146,2,605,1
6. 134310.pdf,6,6. 15681-178613-TE.pdf,6,0.6511,yes,1315,2,1125,1
6A. 148505.pdf,6A,6A. 15428-178700VP.pdf,6A,0.8903,yes,695,1,605,1
7. 86438.pdf,7,7. 16108-178668-MY.pdf,7,0.9223,yes,8187,10,8084,10
8. 86411.pdf,8,7. 16108-178668-MY.pdf,7,0.7564,no,1377,2,8084,10
9. 43082.pdf,9,9. 15617-178789-N.pdf,9,0.8015,yes,731,1,507,1
9A. 24701539.pdf,9A,1. 16012-178800-SA.pdf,1,0.7175,no,1345,2,686,1
